Continent,NonState,Country,Legal: All genders,Age of consent: Equal,Age of consent: Unequal,Illegal: Male,Illegal: Female,Penalising text: Sexual act,Penalising text: Sodomy,Penalising text: Against nature,Penalising text: Buggery,Penalising text: Indecency/other,Promotion or Morality: Penal code,Promotion or Morality: Morality code,Max Sentences: 1 Month  to 2 Years,Max Sentences: 3 Years to 7 Years,Max Sentences: 8 Years to 13 Years,Max Sentences: 14 Years to Life,Max Sentences: Death,Arrests in past 3 years - Yes ,Ban on NGOs  - Yes,NRHI  SO inclusive - Yes,NRHI  SO inclusive - No ,NRHI  SO inclusive - Unclear,NRHI  SO inclusive - None,Protection: Constitution,Protection: Employment,Protection: Other,Protection: Hate Crime,Protection: Incitemenrt,Protection: Conversion Therapy Ban,Relationship recognition :Marriage,Relationship recognition: Civil recognition,Relationship recognition: Joint adoption,Relationship recognition: 2nd parent adoption
AF,No,Mozambique,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AF,No,Namibia,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Niger,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Nigeria,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Rwanda,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,S?o Tome & Principe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AF,No,Senegal,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Seychelles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AF,No,Sierra Leone,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,Somalia,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AF,No,South Africa ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1
